bearing,kind,support,deck,line,size,R_G1,R_conversion,R_G2,R_continuity,R_G,R_Q_max,R_Q_min,mu,Rck,R_ud_min,Ae_m2,sigma_MPa,utilisation,size_required_m
B-R12-4b,伸缩端,A12,R,4,GYZF4 φ450×87,401.2,0.5,216.6,0.0,618.3,437.0,-31.1,0.1928,1139.5,566.3,0.1521,7.49,0.749,0.391
B-R12-5b,伸缩端,A12,R,5,GYZF4 φ450×87,393.3,-0.4,216.5,0.0,609.4,515.6,-65.8,0.1966,1226.5,499.2,0.1521,8.07,0.807,0.405
TS-L01-1b,临时支座,P01,L,1,,395.6,,,,,,,,,,,,,
TS-L01-2b,临时支座,P01,L,2,,397.9,,,,,,,,,,,,,
TS-L01-3b,临时支座,P01,L,3,,397.8,,,,,,,,,,,,,
TS-L01-4b,临时支座,P01,L,4,,395.9,,,,,,,,,,,,,
TS-L01-5b,临时支座,P01,L,5,,387.8,,,,,,,,,,,,,
TS-L02-1a,临时支座,P01,L,1,,392.3,,,,,,,,,,,,,
TS-L02-1b,临时支座,P02,L,1,,392.3,,,,,,,,,,,,,
TS-L02-2a,临时支座,P01,L,2,,392.9,,,,,,,,,,,,,
TS-L02-2b,临时支座,P02,L,2,,392.9,,,,,,,,,,,,,
TS-L02-3a,临时支座,P01,L,3,,392.8,,,,,,,,,,,,,
TS-L02-3b,临时支座,P02,L,3,,392.8,,,,,,,,,,,,,
TS-L02-4a,临时支座,P01,L,4,,389.2,,,,,,,,,,,,,
TS-L02-4b,临时支座,P02,L,4,,389.3,,,,,,,,,,,,,
TS-L02-5a,临时支座,P01,L,5,,379.4,,,,,,,,,,,,,
TS-L02-5b,临时支座,P02,L,5,,379.4,,,,,,,,,,,,,
TS-L03-1a,临时支座,P02,L,1,,394.2,,,,,,,,,,,,,
TS-L03-1b,临时支座,P03,L,1,,394.2,,,,,,,,,,,,,
TS-L03-2a,临时支座,P02,L,2,,393.0,,,,,,,,,,,,,
TS-L03-2b,临时支座,P03,L,2,,393.0,,,,,,,,,,,,,
TS-L03-3a,临时支座,P02,L,3,,389.4,,,,,,,,,,,,,
TS-L03-3b,临时支座,P03,L,3,,389.4,,,,,,,,,,,,,
TS-L03-4a,临时支座,P02,L,4,,389.3,,,,,,,,,,,,,
TS-L03-4b,临时支座,P03,L,4,,389.3,,,,,,,,,,,,,
TS-L03-5a,临时支座,P02,L,5,,377.8,,,,,,,,,,,,,
TS-L03-5b,临时支座,P03,L,5,,377.8,,,,,,,,,,,,,
TS-L04-1a,临时支座,P03,L,1,,399.7,,,,,,,,,,,,,
TS-L04-2a,临时支座,P03,L,2,,396.3,,,,,,,,,,,,,
TS-L04-3a,临时支座,P03,L,3,,396.0,,,,,,,,,,,,,
TS-L04-4a,临时支座,P03,L,4,,393.8,,,,,,,,,,,,,
TS-L04-5a,临时支座,P03,L,5,,381.6,,,,,,,,,,,,,
TS-L05-1b,临时支座,P05,L,1,,399.7,,,,,,,,,,,,,
TS-L05-2b,临时支座,P05,L,2,,396.3,,,,,,,,,,,,,
TS-L05-3b,临时支座,P05,L,3,,396.0,,,,,,,,,,,,,
TS-L05-4b,临时支座,P05,L,4,,393.8,,,,,,,,,,,,,
TS-L05-5b,临时支座,P05,L,5,,381.6,,,,,,,,,,,,,
TS-L06-1a,临时支座,P05,L,1,,394.7,,,,,,,,,,,,,
TS-L06-1b,临时支座,P06,L,1,,394.7,,,,,,,,,,,,,
TS-L06-2a,临时支座,P05,L,2,,393.3,,,,,,,,,,,,,
TS-L06-2b,临时支座,P06,L,2,,393.3,,,,,,,,,,,,,
TS-L06-3a,临时支座,P05,L,3,,389.7,,,,,,,,,,,,,
TS-L06-3b,临时支座,P06,L,3,,389.7,,,,,,,,,,,,,
TS-L06-4a,临时支座,P05,L,4,,389.6,,,,,,,,,,,,,
TS-L06-4b,临时支座,P06,L,4,,389.6,,,,,,,,,,,,,
TS-L06-5a,临时支座,P05,L,5,,377.6,,,,,,,,,,,,,
TS-L06-5b,临时支座,P06,L,5,,377.6,,,,,,,,,,,,,
TS-L07-1a,临时支座,P06,L,1,,394.7,,,,,,,,,,,,,
TS-L07-1b,临时支座,P07,L,1,,394.7,,,,,,,,,,,,,
TS-L07-2a,临时支座,P06,L,2,,393.3,,,,,,,,,,,,,
TS-L07-2b,临时支座,P07,L,2,,393.3,,,,,,,,,,,,,
TS-L07-3a,临时支座,P06,L,3,,389.7,,,,,,,,,,,,,
TS-L07-3b,临时支座,P07,L,3,,389.7,,,,,,,,,,,,,
TS-L07-4a,临时支座,P06,L,4,,389.6,,,,,,,,,,,,,
TS-L07-4b,临时支座,P07,L,4,,389.6,,,,,,,,,,,,,
TS-L07-5a,临时支座,P06,L,5,,377.6,,,,,,,,,,,,,
TS-L07-5b,临时支座,P07,L,5,,377.6,,,,,,,,,,,,,
TS-L08-1a,临时支座,P07,L,1,,399.7,,,,,,,,,,,,,
TS-L08-2a,临时支座,P07,L,2,,396.3,,,,,,,,,,,,,
TS-L08-3a,临时支座,P07,L,3,,396.0,,,,,,,,,,,,,
TS-L08-4a,临时支座,P07,L,4,,393.8,,,,,,,,,,,,,
TS-L08-5a,临时支座,P07,L,5,,381.6,,,,,,,,,,,,,
TS-L09-1b,临时支座,P09,L,1,,399.6,,,,,,,,,,,,,
TS-L09-2b,临时支座,P09,L,2,,396.3,,,,,,,,,,,,,
TS-L09-3b,临时支座,P09,L,3,,396.0,,,,,,,,,,,,,
TS-L09-4b,临时支座,P09,L,4,,393.7,,,,,,,,,,,,,
TS-L09-5b,临时支座,P09,L,5,,381.6,,,,,,,,,,,,,
TS-L10-1a,临时支座,P09,L,1,,394.0,,,,,,,,,,,,,
TS-L10-1b,临时支座,P10,L,1,,394.0,,,,,,,,,,,,,
TS-L10-2a,临时支座,P09,L,2,,393.7,,,,,,,,,,,,,
TS-L10-2b,临时支座,P10,L,2,,393.7,,,,,,,,,,,,,
TS-L10-3a,临时支座,P09,L,3,,390.2,,,,,,,,,,,,,
TS-L10-3b,临时支座,P10,L,3,,390.2,,,,,,,,,,,,,
TS-L10-4a,临时支座,P09,L,4,,390.1,,,,,,,,,,,,,
TS-L10-4b,临时支座,P10,L,4,,390.1,,,,,,,,,,,,,
TS-L10-5a,临时支座,P09,L,5,,378.7,,,,,,,,,,,,,
TS-L10-5b,临时支座,P10,L,5,,378.7,,,,,,,,,,,,,
TS-L11-1a,临时支座,P10,L,1,,392.2,,,,,,,,,,,,,
TS-L11-1b,临时支座,P11,L,1,,392.2,,,,,,,,,,,,,
TS-L11-2a,临时支座,P10,L,2,,393.9,,,,,,,,,,,,,
TS-L11-2b,临时支座,P11,L,2,,393.8,,,,,,,,,,,,,
TS-L11-3a,临时支座,P10,L,3,,393.8,,,,,,,,,,,,,
TS-L11-3b,临时支座,P11,L,3,,393.7,,,,,,,,,,,,,
TS-L11-4a,临时支座,P10,L,4,,390.2,,,,,,,,,,,,,
TS-L11-4b,临时支座,P11,L,4,,390.2,,,,,,,,,,,,,
TS-L11-5a,临时支座,P10,L,5,,380.4,,,,,,,,,,,,,
TS-L11-5b,临时支座,P11,L,5,,380.4,,,,,,,,,,,,,
TS-L12-1a,临时支座,P11,L,1,,395.4,,,,,,,,,,,,,
TS-L12-2a,临时支座,P11,L,2,,398.9,,,,,,,,,,,,,
TS-L12-3a,临时支座,P11,L,3,,398.9,,,,,,,,,,,,,
TS-L12-4a,临时支座,P11,L,4,,398.7,,,,,,,,,,,,,
TS-L12-5a,临时支座,P11,L,5,,389.0,,,,,,,,,,,,,
TS-R01-1b,临时支座,P01,R,1,,399.0,,,,,,,,,,,,,
TS-R01-2b,临时支座,P01,R,2,,398.8,,,,,,,,,,,,,
TS-R01-3b,临时支座,P01,R,3,,398.7,,,,,,,,,,,,,
TS-R01-4b,临时支座,P01,R,4,,398.7,,,,,,,,,,,,,
TS-R01-5b,临时支座,P01,R,5,,391.4,,,,,,,,,,,,,
TS-R02-1a,临时支座,P01,R,1,,396.0,,,,,,,,,,,,,
TS-R02-1b,临时支座,P02,R,1,,396.0,,,,,,,,,,,,,
TS-R02-2a,临时支座,P01,R,2,,395.8,,,,,,,,,,,,,
TS-R02-2b,临时支座,P02,R,2,,395.8,,,,,,,,,,,,,
TS-R02-3a,临时支座,P01,R,3,,395.8,,,,,,,,,,,,,
TS-R02-3b,临时支座,P02,R,3,,395.8,,,,,,,,,,,,,
TS-R02-4a,临时支座,P01,R,4,,395.7,,,,,,,,,,,,,
TS-R02-4b,临时支座,P02,R,4,,395.7,,,,,,,,,,,,,
TS-R02-5a,临时支座,P01,R,5,,382.8,,,,,,,,,,,,,
TS-R02-5b,临时支座,P02,R,5,,382.8,,,,,,,,,,,,,
TS-R03-1a,临时支座,P02,R,1,,402.2,,,,,,,,,,,,,
TS-R03-1b,临时支座,P03,R,1,,402.2,,,,,,,,,,,,,
TS-R03-2a,临时支座,P02,R,2,,396.4,,,,,,,,,,,,,
TS-R03-2b,临时支座,P03,R,2,,396.4,,,,,,,,,,,,,
TS-R03-3a,临时支座,P02,R,3,,396.3,,,,,,,,,,,,,
TS-R03-3b,临时支座,P03,R,3,,396.3,,,,,,,,,,,,,
TS-R03-4a,临时支座,P02,R,4,,396.2,,,,,,,,,,,,,
TS-R03-4b,临时支座,P03,R,4,,396.2,,,,,,,,,,,,,
TS-R03-5a,临时支座,P02,R,5,,381.2,,,,,,,,,,,,,
TS-R03-5b,临时支座,P03,R,5,,381.2,,,,,,,,,,,,,
TS-R04-1a,临时支座,P03,R,1,,406.7,,,,,,,,,,,,,
TS-R04-2a,临时支座,P03,R,2,,404.6,,,,,,,,,,,,,
TS-R04-3a,临时支座,P03,R,3,,402.4,,,,,,,,,,,,,
TS-R04-4a,临时支座,P03,R,4,,402.1,,,,,,,,,,,,,
TS-R04-5a,临时支座,P03,R,5,,388.3,,,,,,,,,,,,,
TS-R05-1b,临时支座,P05,R,1,,406.7,,,,,,,,,,,,,
TS-R05-2b,临时支座,P05,R,2,,404.6,,,,,,,,,,,,,
TS-R05-3b,临时支座,P05,R,3,,402.4,,,,,,,,,,,,,
TS-R05-4b,临时支座,P05,R,4,,402.1,,,,,,,,,,,,,
TS-R05-5b,临时支座,P05,R,5,,388.3,,,,,,,,,,,,,
TS-R06-1a,临时支座,P05,R,1,,403.1,,,,,,,,,,,,,
TS-R06-1b,临时支座,P06,R,1,,403.1,,,,,,,,,,,,,
TS-R06-2a,临时支座,P05,R,2,,397.4,,,,,,,,,,,,,
TS-R06-2b,临时支座,P06,R,2,,397.4,,,,,,,,,,,,,
TS-R06-3a,临时支座,P05,R,3,,397.3,,,,,,,,,,,,,
TS-R06-3b,临时支座,P06,R,3,,397.3,,,,,,,,,,,,,
TS-R06-4a,临时支座,P05,R,4,,397.2,,,,,,,,,,,,,
TS-R06-4b,临时支座,P06,R,4,,397.2,,,,,,,,,,,,,
TS-R06-5a,临时支座,P05,R,5,,381.4,,,,,,,,,,,,,
TS-R06-5b,临时支座,P06,R,5,,381.4,,,,,,,,,,,,,
TS-R07-1a,临时支座,P06,R,1,,403.1,,,,,,,,,,,,,
TS-R07-1b,临时支座,P07,R,1,,403.1,,,,,,,,,,,,,
TS-R07-2a,临时支座,P06,R,2,,397.4,,,,,,,,,,,,,
TS-R07-2b,临时支座,P07,R,2,,397.4,,,,,,,,,,,,,
TS-R07-3a,临时支座,P06,R,3,,397.3,,,,,,,,,,,,,
TS-R07-3b,临时支座,P07,R,3,,397.3,,,,,,,,,,,,,
TS-R07-4a,临时支座,P06,R,4,,397.2,,,,,,,,,,,,,
TS-R07-4b,临时支座,P07,R,4,,397.2,,,,,,,,,,,,,
TS-R07-5a,临时支座,P06,R,5,,381.3,,,,,,,,,,,,,
TS-R07-5b,临时支座,P07,R,5,,381.3,,,,,,,,,,,,,
TS-R08-1a,临时支座,P07,R,1,,406.7,,,,,,,,,,,,,
TS-R08-2a,临时支座,P07,R,2,,404.6,,,,,,,,,,,,,
TS-R08-3a,临时支座,P07,R,3,,402.3,,,,,,,,,,,,,
TS-R08-4a,临时支座,P07,R,4,,402.1,,,,,,,,,,,,,
TS-R08-5a,临时支座,P07,R,5,,388.2,,,,,,,,,,,,,
TS-R09-1b,临时支座,P09,R,1,,406.7,,,,,,,,,,,,,
TS-R09-2b,临时支座,P09,R,2,,404.6,,,,,,,,,,,,,
TS-R09-3b,临时支座,P09,R,3,,402.3,,,,,,,,,,,,,
TS-R09-4b,临时支座,P09,R,4,,402.1,,,,,,,,,,,,,
TS-R09-5b,临时支座,P09,R,5,,388.2,,,,,,,,,,,,,
TS-R10-1a,临时支座,P09,R,1,,402.7,,,,,,,,,,,,,
TS-R10-1b,临时支座,P10,R,1,,402.8,,,,,,,,,,,,,
TS-R10-2a,临时支座,P09,R,2,,398.8,,,,,,,,,,,,,
TS-R10-2b,临时支座,P10,R,2,,398.8,,,,,,,,,,,,,
TS-R10-3a,临时支座,P09,R,3,,398.7,,,,,,,,,,,,,
TS-R10-3b,临时支座,P10,R,3,,398.7,,,,,,,,,,,,,
TS-R10-4a,临时支座,P09,R,4,,398.6,,,,,,,,,,,,,
TS-R10-4b,临时支座,P10,R,4,,398.6,,,,,,,,,,,,,
TS-R10-5a,临时支座,P09,R,5,,383.0,,,,,,,,,,,,,
TS-R10-5b,临时支座,P10,R,5,,383.0,,,,,,,,,,,,,
TS-R11-1a,临时支座,P10,R,1,,396.7,,,,,,,,,,,,,
TS-R11-1b,临时支座,P11,R,1,,396.8,,,,,,,,,,,,,
TS-R11-2a,临时支座,P10,R,2,,398.7,,,,,,,,,,,,,
TS-R11-2b,临时支座,P11,R,2,,398.7,,,,,,,,,,,,,
TS-R11-3a,临时支座,P10,R,3,,398.7,,,,,,,,,,,,,
TS-R11-3b,临时支座,P11,R,3,,398.7,,,,,,,,,,,,,
TS-R11-4a,临时支座,P10,R,4,,398.6,,,,,,,,,,,,,
TS-R11-4b,临时支座,P11,R,4,,398.6,,,,,,,,,,,,,
TS-R11-5a,临时支座,P10,R,5,,384.8,,,,,,,,,,,,,
TS-R11-5b,临时支座,P11,R,5,,384.8,,,,,,,,,,,,,
TS-R12-1a,临时支座,P11,R,1,,397.8,,,,,,,,,,,,,
TS-R12-2a,临时支座,P11,R,2,,401.7,,,,,,,,,,,,,
TS-R12-3a,临时支座,P11,R,3,,401.7,,,,,,,,,,,,,
TS-R12-4a,临时支座,P11,R,4,,401.7,,,,,,,,,,,,,
TS-R12-5a,临时支座,P11,R,5,,393.5,,,,,,,,,,,,,
